package_name,is_obsolete
com.appsky.pulsecare.healthtracker,1
com.autoskate.autoskate,1
casambi.hafele,1
com.dragon.appraise,1
com.ecotel.komfortiq,1
com.geopal.geopal,1
com.VoDrive,1
com.ldrobot.tyw2,1
breathercoach.pnmedical.com,1
com.fox3d.controller,1
com.ponsse.manager,1
com.ndmsystems.remote,1
com.fitbdddsaadvdvdva2watchguide.app,1
com.iskn.imagink,1
brite.app,1
ro.gebs.discover.albaiulia,1
co.shopney.everywhereinternet,1
com.WattsLights.Local,1
bkttimesyncandroid.iz2bkt,1
com.actqatar.isteamapp,1
com.iris.sensorybox.games.number,1
com.themelisx.myspeedometer,1
com.samsung.galaxy234,1
com.mitch.camera,1
com.sparksustainability.thedonut,1
com.ibaby.m3c,1
com.pegotec.lubcon,1
com.secrui.w21,1
com.vcsp,1
com.hthunative,1
com.mightyrc.app.v1,1
com.fnditgps.fndme,1
com.positrace.eld,1
be.cloudbike.cloudbike2,1
com.coachcare.indmedwtlossionic,1
com.vison.macrochip.hlw.tello,1
com.meazurem.gateway,1
com.arlopro3cameraguide.app,1
com.dqiot.tool.google.dolphin,1
com.rsupport.rsperm.ay.a1th,1
eu.nets.dankort,1
com.monotype.android.font.free.fifty.halloween,1
com.jasonzhou.englandsound,1
com.trimble.x7config,1
com.xtooltech.ASD60,1
com.rcdevelopments.findbluetooth,1
com.cabinetapp,1
com.sofihub.portal,1
com.vision.cameras.hk,1
com.jamitool.accessibility.settings.shortcut,1
com.epilepsymjn.socialseras.calendarseizures,1
com.beatfitnessgames.dynamodash,1
com.szc.eyeshield,1
com.dorsavi.rtv2,1
com.mediola.spro,1
com.cortalinfotech.gtpunisetremot,1
com.osthoro.burningflameswatchface,1
com.fieldlens.android,1
oculyze.o_app,1
com.wahoofitness.utility,1
com.anxinbao,1
com.targa.silvercest,1
com.cast.fireplacecasttv,1
com.uesystems.RouteBuilder,1
auto.autoapp.androidautoguide,1
com.phonebooster.cooler.junkcleaner.appclean.speed,1
com.jlagfhjirnhmsport.rgth,1
com.huawei.mw,1
com.maxsecure.maxdevicemanager,1
com.trainerize.scorchfitness,1
net.cubedpixels.energeticbatterysaver,1
com.ywz.app.ppalarm,1
com.ascendapps.cameraautotimestamp,1
ddolcatmaster.lastPowermanagementAndroidTen,1
com.gps.speedometer.digital.speedbox.odometer,1
jp.snowlife01.android.autooptimization.trial,1
com.trainerize.thereproomapp,1
share.filetransfer.app,1
com.brb.bluetoothscanner.c,1
ua.com.app.loungeron,1
com.VVTeam.midwest,1
com.dakotadigital.motorcycle,1
go.craft.security.camera,1
com.archtron.bluguardcloud16,1
com.myinfinity,1
com.nfcx.luxinvpower,1
com.seesharpvisual.eposter,1
com.creativeproteinsolutions.app,1
io.kontakt.installer_app,1
zulumaniya.pedometer.steptracker,1
com.tagworx.inventory,1
net.waynepiekarski.xplanemonitor,1
org.mavlink.qgroundcontrolbeta,1
com.trainerize.revo,1
in.remotify.www.bbktvremotecontrol,1
us.idion.healthcare,1
com.fitdigits.spinning.app,1
com.marisolrosas.app,1
com.linkdesk.android.automator,1
com.tinylogics.foci,1
com.sddq.btb,1
com.smarts.smarttransport,1
health.step.walk,1
com.smartwitness.ap1calibration,1
com.gimbiyunmooth4uide.hghjy,1
com.MEHTAB.bp_recorder,1
com.bulbcamerainc.lightbulbcameraguide,1
com.rrm.candle,1
com.AgDNA.app.XF.Goldman,1
com.afaqy.gpsinfo,1
com.monotype.android.font.bundle144,1
loop.app,1
work.mywild.steps,1
com.totalloyalty.medfordfastl98209,1
com.zecosystems.greenlots,1
com.zy.bluebox,1
com.accubow2022.app,1
com.dhdj.arealmewatchand2guide,1
com.weatherforecast.radar,1
com.my.moaz,1
com.rawleeks.primarypremium,1
com.vmaxpro,1
com.vuzix.vraconnect,1
com.appfour.weartube,1
com.sec.spds,1
com.bestcoolfungames.antsmasher,1
com.meshsmart.iot,1
pe.diegoveloper.printerserverapp,1
cn.lm.com.luxuryscent,1
com.vtechbabymonitor.app221051,1
com.acremote.remotecontrol.forallac,1
com.Delta.DIACloud,1
camviewer.mobi.for_elro,1
com.roboinventors.bluetooth.le.release,1
com.yiding.enerjbell2,1
com.danfoss.troubleshooterapp,1
com.rarejava.mibandfinder,1
com.simicart.powrwheel,1
com.mislohai.driver.application,1
com.kaspersky.security.cloud,1
com.plugsurfing.losch,1
no.giantleap.parko.saba,1
dotarrow.ipodcast,1
com.camera.ligo,1
com.appfour.wearphotos,1
com.bloodpressure.healtrack,1
com.bluecats.bcreveal,1
a4_storm.com.a360lock,1
be.sciensano.coronalert,1
com.sleepace.AYAofSweden,1
com.senssun.health,1
com.grundfos.installershandbook,1
com.poraan.asiatelcom.net,1
com.manarainventory.enversion,1
com.guide.vanced.tube.live.player.guide,1
com.appfour.wearinstruments,1
cn.lm.com.greensignal,1
com.westinghouse.smarthome,1
com.ishow.iwarm,1
com.hunter.btt,1
com.appmysite.wishapos,1
com.thieye.app,1
com.etnobird,1
com.weedle.dvr_hikvision_remotes,1
com.comper.health,1
com.routethis.aeronet,1
com.mivatek.scamera,1
com.phone.iphone13.camera,1
mrdboulevard.mhealth.mhealth_app,1
com.pclhealth.app,1
com.enochpaintball.enochapp.production,1
com.disableheadphone.headset.speaker,1
com.aliyun.iot.living,1
com.charginganimation.chargingalarm.batteryhealth.batterycharging.batterycharger.mobilefastcharger,1
com.quirky.android.wink.wink,1
com.bikevo,1
com.tripper,1
dm.camera.webcamxipcamera,1
com.sherpashare.workers,1
com.lux.heart.rate.monitor.ai,1
com.ctd.ws1n,1
com.innovaphone.clientandroid,1
de.cytechs.guardian,1
com.procharger.fastbatterycharging.quickcharge,1
com.tools.town.gps.speed.meter.speedometer,1
com.libertymutual.uscm.safeco.righttrack,1
com.f9irelesarphonde.fgjfgf,1
com.trainerize.topshelftraining,1
com.iris.sensorybox.games.monsters,1
com.dunyakilavuz.SolarX,1
com.seers.mpatchandroidapp,1
com.vlsmarthome.iswitch,1
com.everon.evdriver.smartwallbox,1
com.oversea.multimobile.abroad,1
com.lf.lfvtandroid,1
com.Espwifi.panda,1
com.gpsautotrackdz.gps,1
com.tapoplugguide.app84627476856,1
com.secure56.app,1
com.yuedong.sporti,1
at.co.kemmer.mopidy_mobile,1
io.sensoria.rehabdemo,1
com.eflforbes.robo,1
org.mrchops.android.digihud,1
com.yarborough.sbt0008,1
com.fensens.sensor,1
com.screen.lgcast,1
com.qualcomm.ftcrobotcontroller,1
com.onebit.gamectrl,1
com.sertsu.awaker,1
com.ronasoftstudios.earspot,1
com.daimler.eqstar.android,1
com.bmi.hr_monitor,1
com.rubetek.client,1
com.bips.securitycameramodminecraft,1
com.warmup.wsm63,1
com.ble.qunchen.aquariumlamp,1
com.stromsoft.heartrate.healthtracker,1
com.khoahung.detectpower,1
com.locategy.family,1
com.x35_gps.app,1
com.tec.grillbbq,1
com.hy.zzz,1
com.mahdisayd.diesel_monitor,1
com.emersoncargo.gobtreader,1
com.waverlylabs.pilot.speech.translator,1
com.roadsense,1
jp.co.epoint.z3dv,1
com.richowls.app.bluetoothbuttoncamera,1
skooty.app,1
com.screenovate.dell.mobileconnect,1
com.danmini.YBell,1
eu.pentashot.hitmiss,1
com.benext.dashboard,1
net.cybrook.trackview,1
com.schaeffler.RobotikAR,1
com.goforiot.iot,1
com.snow_guru.arinsalsnowguru,1
